iter	Passed	Remaining
0	7	23790
1	15	23917
2	26	26926
3	35	26902
4	42	25538
5	47	23469
6	55	23785
7	62	23364
8	70	23590
9	80	23930
10	86	23622
11	95	23665
12	103	23707
13	110	23531
14	118	23565
15	126	23659
16	135	23784
17	143	23845
18	152	23881
19	160	23885
20	169	24050
21	177	24003
22	186	24083
23	194	24056
24	202	24086
25	211	24210
26	218	24108
27	226	24023
28	232	23853
29	241	23917
30	249	23869
31	252	23430
32	260	23459
33	269	23487
34	278	23619
35	288	23715
36	296	23718
37	304	23754
38	313	23822
39	321	23788
40	330	23822
41	337	23772
42	345	23748
43	354	23818
44	363	23847
45	371	23847
46	379	23853
47	391	24051
48	403	24284
49	414	24426
50	425	24621
51	438	24852
52	449	24995
53	465	25371
54	480	25717
55	497	26160
56	516	26656
57	534	27106
58	551	27497
59	568	27847
60	582	28083
61	595	28222
62	610	28458
63	621	28532
64	633	28598
65	643	28586
66	654	28654
67	663	28627
68	674	28630
69	685	28681
70	694	28664
71	704	28637
72	713	28598
73	721	28543
74	731	28521
75	741	28533
76	751	28521
77	759	28463
78	768	28403
79	778	28429
80	788	28403
81	796	28356
82	807	28370
83	817	28394
84	829	28440
85	839	28445
86	850	28480
87	860	28485
88	871	28506
89	881	28501
90	892	28525
91	902	28526
92	911	28499
93	923	28563
94	933	28551
95	943	28537
96	952	28512
97	964	28550
98	973	28537
99	986	28619
100	998	28654
101	1010	28724
102	1022	28753
103	1032	28761
104	1043	28770
105	1056	28836
106	1068	28883
107	1080	28922
108	1092	28974
109	1102	28970
110	1115	29020
111	1125	29025
112	1140	29140
113	1154	29219
114	1191	29884
115	1210	30098
116	1229	30306
117	1245	30411
118	1258	30464
119	1272	30530
120	1295	30833
121	1317	31071
122	1333	31198
123	1350	31326
124	1363	31362
125	1379	31476
126	1396	31600
127	1411	31664
128	1425	31726
129	1440	31805
130	1455	31873
131	1469	31918
132	1485	32021
133	1497	32032
134	1512	32099
135	1526	32153
136	1539	32174
137	1551	32186
138	1564	32210
139	1579	32269
140	1592	32281
141	1604	32292
142	1615	32272
143	1625	32233
144	1638	32267
145	1653	32315
146	1664	32308
147	1676	32303
148	1687	32294
149	1698	32274
150	1708	32237
151	1721	32256
152	1733	32253
153	1746	32274
154	1757	32264
155	1770	32270
156	1781	32254
157	1794	32273
158	1805	32258
159	1817	32256
160	1830	32283
161	1842	32277
162	1853	32265
163	1865	32252
164	1874	32211
165	1884	32171
166	1891	32091
167	1904	32110
168	1916	32096
169	1928	32101
170	1939	32094
171	1950	32069
172	1960	32040
173	1972	32035
174	1986	32072
175	1991	31961
176	2005	31983
177	2010	31877
178	2023	31892
179	2036	31900
180	2048	31898
181	2060	31899
182	2070	31868
183	2079	31819
184	2091	31825
185	2104	31837
186	2112	31771
187	2122	31750
188	2129	31671
189	2138	31631
190	2150	31631
191	2163	31634
192	2170	31574
193	2183	31588
194	2196	31601
195	2209	31606
196	2220	31587
197	2229	31557
198	2240	31536
199	2247	31466
200	2257	31441
201	2267	31412
202	2279	31409
203	2290	31389
204	2300	31366
205	2312	31369
206	2320	31316
207	2332	31310
208	2343	31299
209	2355	31294
210	2366	31283
211	2378	31277
212	2388	31250
213	2399	31234
214	2410	31219
215	2418	31178
216	2431	31183
217	2441	31162
218	2453	31151
219	2462	31112
220	2474	31112
221	2485	31101
222	2497	31095
223	2502	31017
224	2513	31004
225	2523	30971
226	2535	30967
227	2547	30971
228	2554	30909
229	2565	30902
230	2573	30852
231	2585	30849
232	2596	30832
233	2611	30863
234	2622	30860
235	2635	30865
236	2647	30869
237	2658	30848
238	2669	30838
239	2680	30826
240	2692	30819
241	2701	30791
242	2712	30779
243	2721	30743
244	2728	30681
245	2738	30653
246	2749	30645
247	2761	30643
248	2774	30652
249	2787	30661
250	2799	30655
251	2809	30633
252	2822	30643
253	2833	30629
254	2843	30606
255	2856	30616
256	2867	30603
257	2877	30581
258	2885	30540
259	2897	30537
260	2911	30551
261	2916	30475
262	2923	30429
263	2933	30405
264	2943	30377
265	2954	30364
266	2965	30357
267	2975	30329
268	2988	30344
269	2999	30332
270	3009	30301
271	3018	30276
272	3029	30264
273	3041	30262
274	3054	30268
275	3066	30263
276	3077	30249
277	3087	30229
278	3101	30248
279	3114	30255
280	3126	30248
281	3137	30237
282	3146	30212
283	3159	30211
284	3170	30198
285	3178	30160
286	3187	30134
287	3200	30140
288	3210	30117
289	3223	30125
290	3226	30038
291	3239	30043
292	3251	30040
293	3257	29982
294	3270	29987
295	3281	29979
296	3292	29964
297	3303	29949
298	3316	29959
299	3328	29954
300	3340	29953
301	3346	29895
302	3355	29863
303	3368	29869
304	3379	29862
305	3390	29846
306	3397	29805
307	3406	29777
308	3418	29769
309	3429	29759
310	3440	29750
311	3451	29732
312	3460	29710
313	3470	29686
314	3482	29682
315	3494	29677
316	3507	29684
317	3517	29666
318	3523	29615
319	3534	29602
320	3545	29588
321	3554	29559
322	3566	29556
323	3577	29549
324	3589	29548
325	3594	29485
326	3603	29459
327	3612	29429
328	3622	29406
329	3635	29412
330	3642	29374
331	3649	29327
332	3662	29334
333	3672	29317
334	3682	29296
335	3691	29264
336	3697	29220
337	3708	29205
338	3720	29201
339	3728	29167
340	3736	29134
341	3747	29124
342	3758	29116
343	3766	29080
344	3780	29092
345	3789	29066
346	3803	29076
347	3807	29014
348	3819	29009
349	3830	29003
350	3842	28998
351	3848	28948
352	3862	28960
353	3872	28948
354	3884	28945
355	3896	28941
356	3903	28901
357	3914	28888
358	3924	28870
359	3936	28869
360	3947	28855
361	3952	28806
362	3957	28752
363	3968	28740
364	3978	28720
365	3987	28693
366	3996	28673
367	4009	28674
368	4016	28637
369	4023	28597
370	4029	28551
371	4039	28535
372	4051	28535
373	4059	28501
374	4071	28499
375	4082	28493
376	4093	28482
377	4105	28474
378	4115	28463
379	4126	28453
380	4138	28447
381	4150	28443
382	4159	28424
383	4172	28424
384	4180	28398
385	4187	28357
386	4193	28315
387	4203	28299
388	4215	28297
389	4227	28291
390	4238	28280
391	4243	28234
392	4250	28198
393	4262	28196
394	4268	28153
395	4277	28127
396	4287	28113
397	4300	28117
398	4312	28109
399	4323	28101
400	4329	28062
401	4340	28051
402	4351	28039
403	4363	28039
404	4374	28029
405	4388	28040
406	4399	28027
407	4410	28019
408	4422	28016
409	4435	28017
410	4448	28022
411	4458	28004
412	4469	27997
413	4481	27992
414	4487	27952
415	4498	27942
416	4511	27944
